TH	SFDR	SCNPV	IFDR	ICNPV
0.908	0.027	0.468	0.027	0.468
0.909	0.027	0.468	0.027	0.468
0.910	0.027	0.468	0.027	0.468
0.911	0.027	0.468	0.027	0.468
0.912	0.027	0.468	0.027	0.468
0.913	0.027	0.468	0.027	0.468
0.914	0.027	0.468	0.027	0.468
0.915	0.027	0.468	0.027	0.468
0.916	0.027	0.468	0.027	0.468
0.917	0.027	0.468	0.027	0.468
0.918	0.027	0.468	0.027	0.468
0.919	0.027	0.468	0.027	0.468
0.920	0.027	0.468	0.027	0.468
0.921	0.027	0.468	0.027	0.468
0.922	0.027	0.468	0.027	0.468
0.923	0.027	0.468	0.027	0.468
0.924	0.027	0.468	0.027	0.468
0.925	0.027	0.468	0.027	0.468
0.926	0.027	0.468	0.027	0.468
0.927	0.027	0.468	0.027	0.468
0.928	0.027	0.468	0.027	0.468
0.929	0.027	0.468	0.027	0.468
0.930	0.027	0.468	0.027	0.468
0.931	0.027	0.468	0.027	0.468
0.932	0.027	0.468	0.027	0.468
0.933	0.027	0.468	0.027	0.468
0.934	0.027	0.468	0.027	0.468
0.935	0.027	0.468	0.027	0.468
0.936	0.027	0.468	0.027	0.468
0.937	0.027	0.468	0.027	0.468
0.938	0.027	0.468	0.027	0.468
0.939	0.027	0.468	0.027	0.468
0.940	0.027	0.468	0.027	0.468
0.941	0.027	0.468	0.027	0.468
0.942	0.027	0.468	0.027	0.468
0.943	0.027	0.468	0.027	0.468
0.944	0.027	0.468	0.027	0.468
0.945	0.027	0.468	0.027	0.468
0.946	0.027	0.468	0.027	0.468
0.947	0.027	0.468	0.027	0.468
0.948	0.027	0.468	0.027	0.468
0.949	0.027	0.468	0.027	0.468
0.950	0.027	0.468	0.027	0.468
0.951	0.027	0.468	0.027	0.468
0.952	0.027	0.468	0.027	0.468
0.953	0.027	0.468	0.027	0.468
0.954	0.027	0.468	0.027	0.468
0.955	0.027	0.468	0.027	0.468
0.956	0.027	0.468	0.027	0.468
0.957	0.027	0.468	0.027	0.468
0.958	0.027	0.468	0.027	0.468
0.959	0.027	0.468	0.027	0.468
0.960	0.027	0.468	0.027	0.468
0.961	0.027	0.468	0.027	0.468
0.962	0.027	0.468	0.027	0.468
0.963	0.027	0.468	0.027	0.468
0.964	0.027	0.468	0.027	0.468
0.965	0.027	0.468	0.027	0.468
0.966	0.027	0.468	0.027	0.468
0.967	0.027	0.468	0.027	0.468
0.968	0.027	0.468	0.027	0.468
0.969	0.027	0.468	0.027	0.468
0.970	0.027	0.468	0.027	0.468
0.971	0.027	0.468	0.027	0.468
0.972	0.027	0.468	0.027	0.468
0.973	0.027	0.468	0.027	0.468
0.974	0.027	0.468	0.027	0.468
0.975	0.027	0.468	0.027	0.468
0.976	0.027	0.468	0.027	0.468
0.977	0.027	0.468	0.027	0.468
0.978	0.027	0.468	0.027	0.468
0.979	0.027	0.468	0.027	0.468
0.980	0.027	0.468	0.027	0.468
0.981	0.027	0.468	0.027	0.468
0.982	0.027	0.468	0.027	0.468
0.983	0.027	0.468	0.027	0.468
0.984	0.027	0.468	0.027	0.468
0.985	0.027	0.468	0.027	0.468
0.986	0.027	0.468	0.027	0.468
0.987	0.027	0.468	0.027	0.468
0.988	0.027	0.468	0.027	0.468
0.989	0.027	0.468	0.027	0.468
0.990	0.027	0.468	0.027	0.468
0.991	0.027	0.468	0.027	0.468
0.992	0.027	0.468	0.027	0.468
0.993	0.027	0.468	0.027	0.468
0.994	0.027	0.468	0.027	0.468
0.995	0.027	0.468	0.027	0.468
0.996	0.027	0.468	0.027	0.468
0.997	0.027	0.468	0.027	0.468
0.998	0.027	0.468	0.027	0.468
0.999	0.027	0.468	0.027	0.468
1.000	0.027	0.468	0.027	0.468
