TH	SFDR	SCNPV	IFDR	ICNPV
0.410	0.108	0.255	0.108	0.255
0.411	0.108	0.255	0.108	0.255
0.412	0.108	0.255	0.108	0.255
0.413	0.108	0.255	0.108	0.255
0.414	0.108	0.255	0.108	0.255
0.415	0.107	0.256	0.107	0.256
0.416	0.107	0.256	0.107	0.256
0.417	0.107	0.256	0.107	0.256
0.418	0.107	0.256	0.107	0.256
0.419	0.107	0.256	0.107	0.256
0.420	0.106	0.256	0.106	0.256
0.421	0.106	0.256	0.106	0.256
0.422	0.106	0.256	0.106	0.256
0.423	0.106	0.256	0.106	0.256
0.424	0.106	0.256	0.106	0.256
0.425	0.106	0.257	0.106	0.257
0.426	0.106	0.257	0.106	0.257
0.427	0.106	0.257	0.106	0.257
0.428	0.106	0.257	0.106	0.257
0.429	0.106	0.257	0.106	0.257
0.430	0.105	0.258	0.105	0.258
0.431	0.105	0.258	0.105	0.258
0.432	0.105	0.258	0.105	0.258
0.433	0.105	0.258	0.105	0.258
0.434	0.105	0.258	0.105	0.258
0.435	0.103	0.257	0.103	0.257
0.436	0.103	0.257	0.103	0.257
0.437	0.103	0.257	0.103	0.257
0.438	0.103	0.257	0.103	0.257
0.439	0.103	0.257	0.103	0.257
0.440	0.103	0.259	0.103	0.259
0.441	0.103	0.259	0.103	0.259
0.442	0.103	0.259	0.103	0.259
0.443	0.103	0.259	0.103	0.259
0.444	0.103	0.259	0.103	0.259
0.445	0.102	0.259	0.102	0.259
0.446	0.102	0.259	0.102	0.259
0.447	0.102	0.259	0.102	0.259
0.448	0.102	0.259	0.102	0.259
0.449	0.102	0.259	0.102	0.259
0.450	0.101	0.260	0.101	0.260
0.451	0.101	0.260	0.101	0.260
0.452	0.101	0.260	0.101	0.260
0.453	0.101	0.260	0.101	0.260
0.454	0.101	0.260	0.101	0.260
0.455	0.099	0.259	0.099	0.259
0.456	0.099	0.259	0.099	0.259
0.457	0.099	0.259	0.099	0.259
0.458	0.099	0.259	0.099	0.259
0.459	0.099	0.259	0.099	0.259
0.460	0.098	0.260	0.098	0.260
0.461	0.098	0.260	0.098	0.260
0.462	0.098	0.260	0.098	0.260
0.463	0.098	0.260	0.098	0.260
0.464	0.098	0.260	0.098	0.260
0.465	0.098	0.260	0.098	0.260
0.466	0.098	0.260	0.098	0.260
0.467	0.098	0.260	0.098	0.260
0.468	0.098	0.260	0.098	0.260
0.469	0.098	0.260	0.098	0.260
0.470	0.097	0.261	0.097	0.261
0.471	0.097	0.261	0.097	0.261
0.472	0.097	0.261	0.097	0.261
0.473	0.097	0.261	0.097	0.261
0.474	0.097	0.261	0.097	0.261
0.475	0.096	0.261	0.096	0.261
0.476	0.096	0.261	0.096	0.261
0.477	0.096	0.261	0.096	0.261
0.478	0.096	0.261	0.096	0.261
0.479	0.096	0.261	0.096	0.261
0.480	0.095	0.261	0.095	0.261
0.481	0.095	0.261	0.095	0.261
0.482	0.095	0.261	0.095	0.261
0.483	0.095	0.261	0.095	0.261
0.484	0.095	0.261	0.095	0.261
0.485	0.094	0.261	0.094	0.261
0.486	0.094	0.261	0.094	0.261
0.487	0.094	0.261	0.094	0.261
0.488	0.094	0.261	0.094	0.261
0.489	0.094	0.261	0.094	0.261
0.490	0.093	0.262	0.093	0.262
0.491	0.093	0.262	0.093	0.262
0.492	0.093	0.262	0.093	0.262
0.493	0.093	0.262	0.093	0.262
0.494	0.093	0.262	0.093	0.262
0.495	0.092	0.262	0.092	0.262
0.496	0.092	0.262	0.092	0.262
0.497	0.092	0.262	0.092	0.262
0.498	0.092	0.262	0.092	0.262
0.499	0.092	0.262	0.092	0.262
0.500	0.092	0.263	0.092	0.263
0.501	0.091	0.263	0.091	0.263
0.502	0.089	0.264	0.089	0.264
0.503	0.087	0.264	0.087	0.264
0.504	0.087	0.265	0.087	0.265
0.505	0.085	0.266	0.085	0.266
0.506	0.084	0.266	0.084	0.266
0.507	0.082	0.266	0.082	0.266
0.508	0.082	0.267	0.082	0.267
0.509	0.080	0.268	0.080	0.268
0.510	0.080	0.269	0.080	0.269
0.511	0.079	0.269	0.079	0.269
0.512	0.078	0.271	0.078	0.271
0.513	0.077	0.272	0.077	0.272
0.514	0.076	0.272	0.076	0.272
0.515	0.075	0.273	0.075	0.273
0.516	0.075	0.274	0.075	0.274
0.517	0.073	0.274	0.073	0.274
0.518	0.072	0.275	0.072	0.275
0.519	0.071	0.276	0.071	0.276
0.520	0.071	0.279	0.071	0.279
0.521	0.070	0.280	0.070	0.280
0.522	0.069	0.280	0.069	0.280
0.523	0.069	0.281	0.069	0.281
0.524	0.068	0.281	0.068	0.281
0.525	0.068	0.283	0.068	0.283
0.526	0.068	0.285	0.068	0.285
0.527	0.067	0.286	0.067	0.286
0.528	0.067	0.287	0.067	0.287
0.529	0.066	0.287	0.066	0.287
0.530	0.065	0.288	0.065	0.288
0.531	0.066	0.289	0.066	0.289
0.532	0.065	0.290	0.065	0.290
0.533	0.063	0.291	0.063	0.291
0.534	0.064	0.292	0.064	0.292
0.535	0.063	0.293	0.063	0.293
0.536	0.062	0.294	0.062	0.294
0.537	0.062	0.294	0.062	0.294
0.538	0.062	0.296	0.062	0.296
0.539	0.061	0.297	0.061	0.297
0.540	0.061	0.297	0.061	0.297
0.541	0.061	0.299	0.061	0.299
0.542	0.060	0.300	0.060	0.300
0.543	0.060	0.300	0.060	0.300
0.544	0.059	0.300	0.059	0.300
0.545	0.058	0.303	0.058	0.303
0.546	0.058	0.303	0.058	0.303
0.547	0.059	0.304	0.059	0.304
0.548	0.057	0.305	0.057	0.305
0.549	0.057	0.306	0.057	0.306
0.550	0.056	0.307	0.056	0.307
0.551	0.057	0.307	0.057	0.307
0.552	0.056	0.309	0.056	0.309
0.553	0.055	0.310	0.055	0.310
0.554	0.056	0.311	0.056	0.311
0.555	0.055	0.312	0.055	0.312
0.556	0.055	0.312	0.055	0.312
0.557	0.054	0.313	0.054	0.313
0.558	0.054	0.314	0.054	0.314
0.559	0.053	0.315	0.053	0.315
0.560	0.053	0.317	0.053	0.317
0.561	0.053	0.317	0.053	0.317
0.562	0.053	0.320	0.053	0.320
0.563	0.052	0.322	0.052	0.322
0.564	0.051	0.322	0.051	0.322
0.565	0.051	0.323	0.051	0.323
0.566	0.051	0.323	0.051	0.323
0.567	0.051	0.324	0.051	0.324
0.568	0.050	0.325	0.050	0.325
0.569	0.050	0.325	0.050	0.325
0.570	0.050	0.325	0.050	0.325
0.571	0.050	0.325	0.050	0.325
0.572	0.049	0.325	0.049	0.325
0.573	0.049	0.326	0.049	0.326
0.574	0.048	0.326	0.048	0.326
0.575	0.049	0.328	0.049	0.328
0.576	0.048	0.328	0.048	0.328
0.577	0.048	0.329	0.048	0.329
0.578	0.048	0.330	0.048	0.330
0.579	0.047	0.331	0.047	0.331
0.580	0.047	0.331	0.047	0.331
0.581	0.047	0.332	0.047	0.332
0.582	0.047	0.332	0.047	0.332
0.583	0.046	0.333	0.046	0.333
0.584	0.046	0.334	0.046	0.334
0.585	0.046	0.335	0.046	0.335
0.586	0.046	0.335	0.046	0.335
0.587	0.045	0.335	0.045	0.335
0.588	0.045	0.337	0.045	0.337
0.589	0.046	0.339	0.046	0.339
0.590	0.045	0.339	0.045	0.339
0.591	0.045	0.339	0.045	0.339
0.592	0.045	0.341	0.045	0.341
0.593	0.045	0.341	0.045	0.341
0.594	0.044	0.342	0.044	0.342
0.595	0.045	0.343	0.045	0.343
0.596	0.045	0.343	0.045	0.343
0.597	0.044	0.345	0.044	0.345
0.598	0.044	0.347	0.044	0.347
0.599	0.044	0.348	0.044	0.348
0.600	0.044	0.349	0.044	0.349
0.601	0.044	0.349	0.044	0.349
0.602	0.043	0.349	0.043	0.349
0.603	0.043	0.349	0.043	0.349
0.604	0.043	0.350	0.043	0.350
0.605	0.042	0.351	0.042	0.351
0.606	0.041	0.352	0.041	0.352
0.607	0.041	0.353	0.041	0.353
0.608	0.041	0.353	0.041	0.353
0.609	0.041	0.354	0.041	0.354
0.610	0.041	0.354	0.041	0.354
0.611	0.040	0.355	0.040	0.355
0.612	0.041	0.356	0.041	0.356
0.613	0.041	0.356	0.041	0.356
0.614	0.040	0.357	0.040	0.357
0.615	0.040	0.358	0.040	0.358
0.616	0.040	0.358	0.040	0.358
0.617	0.039	0.358	0.039	0.358
0.618	0.039	0.359	0.039	0.359
0.619	0.039	0.359	0.039	0.359
0.620	0.039	0.359	0.039	0.359
0.621	0.039	0.360	0.039	0.360
0.622	0.039	0.360	0.039	0.360
0.623	0.039	0.360	0.039	0.360
0.624	0.038	0.362	0.038	0.362
0.625	0.039	0.363	0.039	0.363
0.626	0.039	0.363	0.039	0.363
0.627	0.039	0.363	0.039	0.363
0.628	0.039	0.365	0.039	0.365
0.629	0.038	0.365	0.038	0.365
0.630	0.038	0.366	0.038	0.366
0.631	0.038	0.367	0.038	0.367
0.632	0.038	0.367	0.038	0.367
0.633	0.037	0.368	0.037	0.368
0.634	0.037	0.369	0.037	0.369
0.635	0.037	0.369	0.037	0.369
0.636	0.037	0.369	0.037	0.369
0.637	0.037	0.370	0.037	0.370
0.638	0.037	0.370	0.037	0.370
0.639	0.037	0.371	0.037	0.371
0.640	0.037	0.372	0.037	0.372
0.641	0.037	0.373	0.037	0.373
0.642	0.038	0.375	0.038	0.375
0.643	0.038	0.376	0.038	0.376
0.644	0.037	0.377	0.037	0.377
0.645	0.037	0.377	0.037	0.377
0.646	0.037	0.377	0.037	0.377
0.647	0.037	0.378	0.037	0.378
0.648	0.037	0.378	0.037	0.378
0.649	0.037	0.379	0.037	0.379
0.650	0.036	0.380	0.036	0.380
0.651	0.036	0.381	0.036	0.381
0.652	0.036	0.381	0.036	0.381
0.653	0.037	0.383	0.037	0.383
0.654	0.035	0.383	0.035	0.383
0.655	0.036	0.384	0.036	0.384
0.656	0.036	0.384	0.036	0.384
0.657	0.036	0.384	0.036	0.384
0.658	0.036	0.385	0.036	0.385
0.659	0.036	0.385	0.036	0.385
0.660	0.036	0.386	0.036	0.386
0.661	0.036	0.386	0.036	0.386
0.662	0.036	0.387	0.036	0.387
0.663	0.035	0.387	0.035	0.387
0.664	0.036	0.389	0.036	0.389
0.665	0.036	0.389	0.036	0.389
0.666	0.036	0.390	0.036	0.390
0.667	0.036	0.391	0.036	0.391
0.668	0.035	0.392	0.035	0.392
0.669	0.035	0.393	0.035	0.393
0.670	0.035	0.393	0.035	0.393
0.671	0.035	0.393	0.035	0.393
0.672	0.036	0.395	0.036	0.395
0.673	0.034	0.395	0.034	0.395
0.674	0.034	0.396	0.034	0.396
0.675	0.034	0.396	0.034	0.396
0.676	0.034	0.397	0.034	0.397
0.677	0.034	0.397	0.034	0.397
0.678	0.034	0.397	0.034	0.397
0.679	0.034	0.398	0.034	0.398
0.680	0.033	0.398	0.033	0.398
0.681	0.034	0.398	0.034	0.398
0.682	0.034	0.399	0.034	0.399
0.683	0.034	0.400	0.034	0.400
0.684	0.034	0.400	0.034	0.400
0.685	0.034	0.401	0.034	0.401
0.686	0.034	0.401	0.034	0.401
0.687	0.033	0.401	0.033	0.401
0.688	0.033	0.402	0.033	0.402
0.689	0.033	0.402	0.033	0.402
0.690	0.033	0.403	0.033	0.403
0.691	0.033	0.403	0.033	0.403
0.692	0.034	0.404	0.034	0.404
0.693	0.034	0.405	0.034	0.405
0.694	0.034	0.406	0.034	0.406
0.695	0.034	0.406	0.034	0.406
0.696	0.033	0.406	0.033	0.406
0.697	0.033	0.407	0.033	0.407
0.698	0.033	0.407	0.033	0.407
0.699	0.033	0.409	0.033	0.409
0.700	0.032	0.409	0.032	0.409
0.701	0.032	0.409	0.032	0.409
0.702	0.032	0.410	0.032	0.410
0.703	0.032	0.411	0.032	0.411
0.704	0.032	0.411	0.032	0.411
0.705	0.032	0.412	0.032	0.412
0.706	0.033	0.412	0.033	0.412
0.707	0.033	0.413	0.033	0.413
0.708	0.033	0.413	0.033	0.413
0.709	0.033	0.414	0.033	0.414
0.710	0.033	0.415	0.033	0.415
0.711	0.032	0.415	0.032	0.415
0.712	0.032	0.415	0.032	0.415
0.713	0.032	0.415	0.032	0.415
0.714	0.032	0.416	0.032	0.416
0.715	0.032	0.417	0.032	0.417
0.716	0.032	0.417	0.032	0.417
0.717	0.031	0.417	0.031	0.417
0.718	0.031	0.418	0.031	0.418
0.719	0.031	0.418	0.031	0.418
0.720	0.031	0.419	0.031	0.419
0.721	0.031	0.419	0.031	0.419
0.722	0.031	0.419	0.031	0.419
0.723	0.031	0.420	0.031	0.420
0.724	0.031	0.420	0.031	0.420
0.725	0.032	0.422	0.032	0.422
0.726	0.031	0.422	0.031	0.422
0.727	0.030	0.422	0.030	0.422
0.728	0.030	0.422	0.030	0.422
0.729	0.030	0.422	0.030	0.422
0.730	0.030	0.423	0.030	0.423
0.731	0.031	0.424	0.031	0.424
0.732	0.031	0.424	0.031	0.424
0.733	0.031	0.425	0.031	0.425
0.734	0.031	0.425	0.031	0.425
0.735	0.031	0.426	0.031	0.426
0.736	0.032	0.427	0.032	0.427
0.737	0.032	0.428	0.032	0.428
0.738	0.032	0.428	0.032	0.428
0.739	0.032	0.429	0.032	0.429
0.740	0.033	0.429	0.033	0.429
0.741	0.031	0.429	0.031	0.429
0.742	0.031	0.429	0.031	0.429
0.743	0.031	0.430	0.031	0.430
0.744	0.031	0.430	0.031	0.430
0.745	0.031	0.431	0.031	0.431
0.746	0.031	0.431	0.031	0.431
0.747	0.031	0.431	0.031	0.431
0.748	0.032	0.432	0.032	0.432
0.749	0.032	0.433	0.032	0.433
